id,name,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,number_of_reviews_l30d,calculated_host_listings_count,availability_365,review_scores_rating
771366,Level | Studio | Lux Amenities Downtown Vancouver,2502595,Level Hotels And Furnished Suites,49.27835083,-123.1224136,Entire home/apt,$195.00,30,7,2023-02-04,0,41,344,5
771380,Level | Two Bedroom Suite | Luxe Amenities,2502595,Level Hotels And Furnished Suites,49.27835083,-123.1224136,Entire home/apt,$220.00,30,9,2022-07-31,0,41,364,4.67
784153,The Garden Quarter In Kitsilano,3211112,Rasha,49.26186,-123.17438,Entire home/apt,$100.00,30,56,2022-12-31,0,4,193,4.78
785297,The Nook in Kitsilano,3211112,Rasha,49.26355,-123.17326,Private room,$86.00,14,78,2022-12-17,0,4,250,4.88
785752,The Garden Nook in Kitsilano,3211112,Rasha,49.26213,-123.17482,Entire home/apt,$134.00,30,3,2016-09-17,0,4,179,5
796603,Exellent for International Student,4196444,Milorad,49.28087,-123.13525,Shared room,$30.00,30,0,,0,1,0,
801222,fully furnished suite near VGH,4217281,Jennifer,49.25804,-123.12119,Entire home/apt,$78.00,30,23,2021-10-26,0,3,244,4.59
824612,East Village Private Garden Gem!,4326869,Marketa,49.28618,-123.05403,Entire home/apt,$84.00,31,71,2023-03-01,1,1,22,4.6
874731,Sunny room with private bathroom and large patio,2216706,Matthew,49.25785,-123.12199,Private room,$139.00,8,66,2022-10-26,0,1,46,4.54
875309,Heritage Home near Kits Beach,4621004,Judy,49.27073,-123.16325,Entire home/apt,$350.00,7,35,2022-08-14,0,1,99,4.74
885600,"Dunbar near UBC: Clean, comfortable + quiet",4693732,David & Patti,49.24803,-123.18517,Entire home/apt,$130.00,3,245,2023-03-11,2,1,158,4.93
958090,Private apartment-Yaletown Downtown,1200456,Nala,49.27744,-123.11524,Entire home/apt,$458.00,30,10,2013-09-30,0,6,365,4.2
961006,Oakridge Canada Line completely renovated home,5233549,Joyce,49.23569,-123.10987,Entire home/apt,$219.00,1,7,2017-07-21,0,4,0,4.33
961831,Spacious Room in Character Home,3751879,Jayden,49.26648,-123.15939,Private room,$121.00,4,38,2023-02-04,0,2,115,5
980511,"261 Yaletown Studio at ""Space""",600607,Martello,49.27489,-123.12654,Entire home/apt,$80.00,30,9,2022-05-20,0,36,0,4.78
994969,152 Studio (no Bedroom),600607,Martello,49.28006,-123.12673,Entire home/apt,$77.00,30,4,2022-12-30,0,36,0,4.25
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,Martello,49.28837,-123.12766,Entire home/apt,$104.00,30,15,2023-02-13,1,36,0,4.6
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Selina,49.27804,-123.12531,Entire home/apt,$280.00,180,2,2014-05-23,0,2,365,4
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!,5539641,Selina,49.27828,-123.12671,Entire home/apt,$180.00,180,1,2013-06-02,0,2,365,5
1012385,comfy stay in clean victorian house,5569906,Mark Anthony,49.25674,-123.0874,Entire home/apt,$90.00,2,325,2023-03-06,4,1,148,4.79
1015935,"Light-filled, self-contained studio in Strathcona",56709,Samantha Jo,49.2804,-123.08908,Entire home/apt,$168.00,30,217,2022-10-11,0,4,274,4.8
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Hajime,49.27747,-123.12098,Entire home/apt,$70.00,30,107,2023-02-25,1,2,82,4.85
1021669,Yaletown Deluxe Studio Condominium,5623565,Hajime,49.27703,-123.12692,Entire home/apt,$70.00,30,147,2023-02-15,1,2,27,4.74
1032892,Commercial Dr. 'hip' Artist's Character home,2378744,Lori,49.27241,-123.06332,Private room,$125.00,2,99,2023-02-26,2,1,203,4.85
1061895,Quiet space minutes from downtown!,5845838,Jenny,49.24166,-123.0407,Private room,$76.00,2,75,2022-12-11,0,1,1,4.72
1109821,136 Lord Stanley Great price!,600607,Martello,49.29258,-123.13446,Entire home/apt,$73.00,365,11,2019-03-23,0,36,0,4.45
1113551,Sunny Family Home in Heart of Kits,5231060,Liz,49.26110077,-123.1595459,Entire home/apt,$700.00,7,43,2022-12-28,0,1,62,4.83
1118858,*Best choice in downtown-5 Stars * -3,70137,Kai,49.28239,-123.13021,Private room,$68.00,30,61,2022-12-30,0,4,261,4.55
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,49.27925,-123.08814,Entire home/apt,$120.00,3,304,2023-03-10,3,2,244,4.73
1178149,Cozy Space in East Vancouver,6165412,Sylvia,49.26957,-123.04828,Entire home/apt,$90.00,3,64,2023-02-26,1,1,117,4.92
1187929,Elegant Main floor House Vancouver,6495937,Janet,49.24965,-123.07027,Entire home/apt,$197.00,3,111,2023-01-05,0,1,0,4.85
1191143,Beautiful Kitsilano Character home. Great Location,598979,Mary,49.26716,-123.17653,Entire home/apt,$279.00,5,15,2022-09-04,0,1,98,4.73
1214617,Cool cozy place on The Drive w central A/C!,6630357,Divina And Viv,49.26731,-123.06909,Entire home/apt,$135.00,3,226,2023-02-27,2,1,204,4.87
1223989,Stunning Suite Heart of DT w/Parking and Office,6677154,Amanda,49.27843,-123.12901,Entire home/apt,$135.00,90,101,2021-01-31,0,1,61,4.85
1229506,Brand new 3 bedroom home in central Vancouver,1742728,Karen,49.26596,-123.06844,Entire home/apt,$400.00,4,11,2022-08-21,0,1,259,4.9
1273760,Stylish Hotel Room in Downtown Vancouver,6033,Cam,49.28478,-123.1192,Private room,$156.00,2,533,2023-02-27,5,2,225,4.86
1291394,Clean New Kits 3 bedroom/ 2bath!,7021457,Leila,49.26889,-123.18543,Entire home/apt,$150.00,30,39,2022-02-03,0,2,31,4.9
1309315,"Beautiful Mount Pleasant home, close to everything",7116781,Hugh & Caryn,49.26719,-123.10982,Entire home/apt,$399.00,5,7,2022-08-29,0,1,0,4.29
1316419,120 501 Pacific,600607,Martello,49.28279,-123.1222,Entire home/apt,$80.00,180,2,2014-07-01,0,36,0,4.5
1316477,224 Yaletown Park.  Long term stay welcome,600607,Martello,49.27859,-123.11993,Entire home/apt,$86.00,90,7,2020-09-30,0,36,0,4.86
1343411,Close to Anywhere: Location Location Location,6904778,Mari,49.27627,-123.10013,Entire home/apt,$95.00,1,55,2020-11-22,0,1,0,4.7
1343519,*Best choice in downtown-5 Stars* -1,70137,Kai,49.28247,-123.13068,Private room,$68.00,30,68,2022-12-10,0,4,300,4.47
1360765,Ultra Modern Apartment in Yaletow,7338933,Sadiq,49.284,-123.11432,Entire home/apt,$97.00,30,116,2023-02-02,0,3,214,4.75
1361276,Private space in heritage home in lovely area,1743089,Darren,49.25808,-123.07538,Entire home/apt,$136.00,5,17,2023-01-01,0,3,10,4.71
1365609,AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,7336501,Maha,49.27932,-123.12911,Entire home/apt,$193.00,4,160,2023-03-09,5,1,75,4.89
1375143,100 Year Old Character Home off Main.,1334665,Ga??lle And James,49.24871,-123.09646,Entire home/apt,$250.00,30,3,2022-08-31,0,2,266,5
1378220,QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,7465731,Brian,49.26026,-123.20135,Entire home/apt,$126.00,3,96,2022-11-23,0,2,88,4.67
1398788,Stunning 1 Bedroom Laneway,7554741,Ruth,49.23968,-123.16762,Entire home/apt,$111.00,31,95,2023-02-03,0,1,244,4.9
1399744,Luxury 2 BDR With Wrap Around Deck,7560143,Sandy,49.26964,-123.11064,Entire home/apt,$450.00,30,12,2022-05-31,0,1,223,4.75
1466647,One Bedroom & Secured Underground Parking,7856227,Christian,49.28164,-123.11006,Entire home/apt,$199.00,30,14,2020-08-31,0,1,90,4.23
1502887,244 -2 BEDROOM. WATER VIEW! 6 MONTH EXTENDED STAY,600607,Martello,49.29014,-123.12716,Entire home/apt,$104.00,180,5,2018-12-01,0,36,0,4.8
1507975,Modern new room with private entry!,51695,Natasha & Paolo,49.24882,-123.09121,Private room,$81.00,3,314,2023-03-04,1,1,188,4.71
1525113,"114 Studio ""West of Denman""",600607,Martello,49.29101,-123.14085,Entire home/apt,$73.00,30,14,2023-01-15,0,36,0,4.36
1565861,Deluxe Kitsilano Beach Waterfront 2 Bedroom House,8328973,Adam,49.27383,-123.15362,Entire home/apt,$500.00,6,77,2022-07-27,0,1,98,4.92
1610084,Lakeside Cottage with Stunning View,8556789,Lana,49.25935559,-123.0613136,Entire home/apt,$152.00,2,170,2023-02-25,3,1,138,4.88
1620084,Bright private suite around SoMain,8618932,Fawziah,49.24001,-123.08278,Entire home/apt,$125.00,1,1,2019-02-28,0,1,48,5
1623556,Private top floor on vibrant Main St,8633501,Robin,49.25259,-123.09292,Entire home/apt,$95.00,3,305,2023-02-26,2,1,125,4.68
1629480,Garden Suite-Quiet/Private&Central,8660533,Tracy And Richard,49.25225,-123.10756,Entire home/apt,$78.00,30,139,2023-01-31,0,1,205,4.82
1657214,2000sqft 3 level Downtown loft 3 patios + Parking,8784861,Dianna,49.28167,-123.10984,Entire home/apt,$250.00,30,5,2021-05-08,0,1,363,5
1703616,Beautiful Kitsilano Apartment..,8993938,James And Jewel,49.26548,-123.14579,Entire home/apt,$125.00,30,2,2023-02-28,1,1,365,4.5
1717967,2 Bedroom Garden Flat - Main Street,9057463,Mary,49.24778,-123.09867,Entire home/apt,$164.00,2,324,2023-03-05,2,1,110,4.92
1733307,DT Ocean view with luxury amenities and parking,9131888,Cindy,49.27781,-123.10637,Entire home/apt,$298.00,1,91,2023-03-05,3,1,275,4.9
1768817,SoMa Suite - Main Street Cool,9041076,Lynn,49.24489,-123.10302,Entire home/apt,$80.00,31,69,2022-10-28,0,1,119,4.9
1820919,Film Industry loves this house! 5 min to VGH,7281178,Jodi,49.2585,-123.11479,Entire home/apt,$292.00,2,61,2023-01-26,0,1,184,4.92
1830733,Cozy Retreat - Strathcona,9575419,Elana & Claudio,49.27866,-123.08627,Entire home/apt,$125.00,2,257,2023-03-05,1,4,176,4.9
1850984,Main Street loft w/ rooftop terrace and view!,1007186,Bryn,49.26772,-123.0975,Entire home/apt,$300.00,3,32,2022-12-31,0,1,229,4.78
1869071,156 One Bedroom in Downtown at The Electra,600607,Martello,49.28216,-123.12438,Entire home/apt,$90.00,30,4,2022-01-05,0,36,0,4.75
1898584,Tinseltown Apartment,9862171,John,49.27915,-123.10642,Entire home/apt,$79.00,90,36,2022-12-07,0,1,209,4.75
1932171,Commercial Drive Garden Suite,5026894,Lois,49.26861,-123.06666,Entire home/apt,$97.00,31,11,2018-08-28,0,1,0,4.64
1950844,Stylish and Modern 2Bed West End Suite!,1469405,Phil,49.28957274,-123.1373565,Entire home/apt,$165.00,2,145,2023-02-27,5,1,10,4.56
1962072,Lovely townhouse in Mount Pleasant,3580181,Adele,49.26,-123.10807,Entire home/apt,$200.00,31,1,2015-12-26,0,1,63,5
1995592,"Charming ""Kitsilano Family Place""",10285482,Allan And Ellen,49.263252,-123.164825,Private room,$110.00,2,324,2023-03-13,4,1,177,4.62
2003897,GREAT SUITE w GARDEN PATIO!  CENTRALLY LOCATED!!,10317553,Rita,49.26263,-123.11627,Entire home/apt,$130.00,120,3,2014-02-03,0,1,164,5
2008047,Amazing View from a Modern Loft,7745079,Chad,49.28519,-123.09872,Entire home/apt,$119.00,15,57,2023-02-07,0,1,346,4.82
2011559,Sunny family-friendly house in Kits,9372276,Rica,49.26057,-123.15881,Entire home/apt,$650.00,5,38,2022-08-30,0,1,76,4.89
2033952,Beautiful Kitsilano - Covid-19 Safe,557301,Tyler,49.26715,-123.15325,Entire home/apt,$99.00,2,6,2020-09-09,0,1,0,4.67
2041582,"Kitsilano Point, very clean, welcoming and bright",1728615,Francois,49.2753,-123.14721,Entire home/apt,$120.00,30,248,2023-01-18,0,1,265,4.96
2042431,Yaletown 1BD Condo @ Homer & Robson,9582918,Sandy,49.28005,-123.11659,Entire home/apt,$115.00,30,136,2023-01-08,0,1,365,4.89
2046259,2 bdrm in COMPLETLY RENOVATED HOME BY CANADA LINE,5233549,Joyce,49.23573,-123.10819,Entire home/apt,$219.00,1,7,2018-07-24,0,4,0,4.43
2056676,Cozy Modern apartment in Yaletown,7338933,Sadiq,49.27393,-123.11599,Entire home/apt,$110.00,30,91,2022-01-31,0,3,226,4.49
2084273,Gorgeous New House Double Ensuite,7940236,Renee,49.24976,-123.03547,Private room,$75.00,31,45,2023-02-28,1,5,41,4.84
2092610,A spacious modern apartment,1172047,Trevor,49.2655,-123.0969,Entire home/apt,$125.00,30,42,2022-12-10,0,2,260,4.71
2106364,Gorgeous New House Single Ensuite,7940236,Renee,49.24958,-123.0359,Private room,$65.00,31,30,2023-01-18,0,5,29,4.72
2163742,Garden Patio condo near Downtown transit central,5656886,Brandi,49.26199,-123.07408,Private room,$84.00,2,117,2023-02-20,1,2,116,4.82
